index	title	original_title	creator	creator_lifespan	creator_nationality	date_created	location_created	medium	object_type	aspect_ratio	aspect_ratio_standard	orientation	master_width_px	master_height_px	megapixels	focal_anchors_count	physical_dimensions_raw	parsed_height_cm	parsed_width_cm	parsed_depth_cm	resolution_density_dpi	partner_name	partner_city_country	partner_website	partner_lat	partner_long	inventory_number	external_catalog_url	rights	art_movements	tags_and_topics	dominant_color	wikidata_qid	wikipedia_url	commons_image_url	asset_id	link
772	Chennai (formerly Madras), Tamil Nadu		Louis Paradis de la Roche			1758	Paris	Copper engraving	Document	1.9073	1.91:1	Landscape					16.4 x 32.2 cm	16.4	32.2			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Chennai, Copper, Engraving, Fort St. George, India, Map, Metal	#fcfad4				dwG7Xv2QTET5vA	https://artsandculture.google.com/asset/chennai-formerly-madras-tamil-nadu-louis-paradis-de-la-roche/dwG7Xv2QTET5vA
771	Buddhist Map of the World: ‘Outline Map of All Countries of the Universe		Zuda Rokashi (Priest Hotan)			1710	Kyoto	Woodcut with contemporary outline colour	Print	1.3333	4:3 (Standard)	Landscape					1145 x 1415 mm (45.1 x 55.7 inches)	114.5	141.5			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Geography, Map, Wood	#d9c8a9				pQHZVGGNlR3gLg	https://artsandculture.google.com/asset/buddhist-map-of-the-world-%E2%80%98outline-map-of-all-countries-of-the-universe-zuda-rokashi-priest-hotan/pQHZVGGNlR3gLg
770	Plan of the Shrinathji Temple at Nathdwara					Early 20th Century	Nathdwara		Artwork	1.2843	1.28:1	Landscape					174 x 112 cm	174.0	112.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Architecture, India, Ink, Nathdwara, Plan, Watercolor painting	#bbbdb5				WQHXmoYQ-iz9Ww	https://artsandculture.google.com/asset/plan-of-the-shrinathji-temple-at-nathdwara/WQHXmoYQ-iz9Ww
769	Pilgrimage Maps of Shatrunjaya					Late 19th Century	Rajasthan	Opaque watercolor on cotton	Artwork	0.751	3:4 (Portrait)	Portrait					455 x 303 cm	455.0	303.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Cotton, India, Map, Pilgrimage, Shatrunjaya, Textile, Watercolor painting	#b18c2b				jgGzET0YkgEkyQ	https://artsandculture.google.com/asset/pilgrimage-maps-of-shatrunjaya/jgGzET0YkgEkyQ
768	Pilgrimage Maps of Shatrunjaya					Mid 19th Century	Gujarat	Opaque watercolor on cotton	Artwork	0.6357	2:3 (Portrait)	Portrait					240 x 185 cm	240.0	185.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Geography, India, Map, Pilgrimage, Shatrunjaya, Watercolor painting	#cec1ab				UAFy2gDE19tElg	https://artsandculture.google.com/asset/pilgrimage-maps-of-shatrunjaya/UAFy2gDE19tElg
767	Map of the Ganges		Rajasthani Artist			Early 18th Century	Gahrwal	Opaque watercolour on cotton	Painting	6.0075	6.01:1	Panoramic (Landscape)					39.5 x 223 cm	39.5	223.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Cotton, India, Map, Pilgrimage, River, Textile, Watercolor painting	#9f6f57				jwGLNWnpG51vBQ	https://artsandculture.google.com/asset/map-of-the-ganges-rajasthani-artist/jwGLNWnpG51vBQ
766	Indian Cosmography					Early 19th Century	London	Copper engraving	Document	0.8418	0.84:1	Portrait					26.4 x 21.2 cm	26.4	21.2			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Copper, Engraving, Geology, Metal	#e9c1a4				_wEP6RWFVERJeg	https://artsandculture.google.com/asset/indian-cosmography/_wEP6RWFVERJeg
765	Cosmic Map of the Mortal World as Two and a Half Continents_ Rajasthan, 18th Century.					18th Century	Rajasthan	Opaque watercolor on cotton	Painting	1.0019	1:1 (Square)	Square					115 x 120 cm	115.0	120.0			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Cotton, India, Map, Monk, Symmetry, Textile, Watercolor painting	#f8bb8a				pgGHxSbOH5o9Rg	https://artsandculture.google.com/asset/cosmic-map-of-the-mortal-world-as-two-and-a-half-continents-rajasthan-18th-century/pgGHxSbOH5o9Rg
764	Cosmic Map of the Mortal World as Two and a Half Continents_ Rajasthan, mid-17th Century					Mid 17th Century	Rajasthan	Opaque watercolor on cotton	Painting	1.0933	1.09:1	Landscape					70.5 x 69.5 cm	70.5	69.5			Kalakriti Archives	Hyderabad, India	http://www.kalakritiarchives.in/	17.41734	78.443151					Cotton, India, Map, Monk, Textile, Watercolor painting	#f0ae85				4QHeXtjzPbMTSg	https://artsandculture.google.com/asset/cosmic-map-of-the-mortal-world-as-two-and-a-half-continents-rajasthan-mid-17th-century/4QHeXtjzPbMTSg
763	Town Krainburg (Kranj)		Joseph Wagner			1845				1.2941	4:3 (Standard)	Landscape										National and University Library of Slovenia	Ljubljana, Slovenia	http://www.nuk.uni-lj.si/	46.04752	14.503967					Kranj, Ridge, Slovenia	#cdc0b9				jwGK5mDk9Dh6mA	https://artsandculture.google.com/asset/town-krainburg-kranj-joseph-wagner/jwGK5mDk9Dh6mA
